participant_id	TOWRE_SW_Raw	TOWRE_SW_StS	TOWRE_PD_Raw	TOWRE_PD_StS	TOWRE_Total_StS
sub-001	74	109	57	134	126
sub-002	79	110	35	96	104
sub-003	n/a	n/a	n/a	n/a	n/a
sub-004	n/a	n/a	n/a	n/a	n/a
sub-005	91	108	53	109	110
sub-006	79	110	43	106	110
sub-007	89	117	48	110	116
sub-008	82	92	41	87	87
sub-009	81	116	46	115	119
sub-010	90	113	43	98	107
sub-011	76	104	43	106	106
sub-012	83	98	55	113	107
sub-013	104	118	53	99	110
sub-014	83	98	37	88	92
sub-015	n/a	n/a	n/a	n/a	n/a
sub-016	97	110	55	104	108
sub-017	n/a	n/a	n/a	n/a	n/a
sub-018	97	115	54	111	116
sub-019	n/a	n/a	n/a	n/a	n/a
sub-020	95	119	48	104	114
sub-021	n/a	n/a	n/a	n/a	n/a
sub-022	68	85	31	83	81
sub-023	89	111	52	111	113
sub-024	79	103	54	119	113
sub-025	n/a	n/a	n/a	n/a	n/a
sub-026	n/a	n/a	n/a	n/a	n/a
sub-027	94	122	56	123	127
sub-028	n/a	n/a	n/a	n/a	n/a
sub-029	82	109	36	95	102
sub-030	n/a	n/a	n/a	n/a	n/a
sub-031	n/a	n/a	n/a	n/a	n/a
sub-032	n/a	n/a	n/a	n/a	n/a
sub-033	n/a	n/a	n/a	n/a	n/a
sub-034	84	112	46	107	111
sub-035	84	102	42	97	99
sub-036	82	109	39	97	104
sub-037	n/a	n/a	n/a	n/a	n/a
sub-038	n/a	n/a	n/a	n/a	n/a
sub-039	n/a	n/a	n/a	n/a	n/a
sub-040	93	103	52	98	101
sub-041	n/a	n/a	n/a	n/a	n/a
sub-042	86	114	47	108	113
sub-043	n/a	n/a	n/a	n/a	n/a
sub-044	97	115	56	114	117
sub-045	79	110	27	89	99
sub-046	93	110	42	94	102
sub-047	70	93	45	105	99
sub-048	95	123	55	121	126
sub-049	96	120	57	119	123
sub-050	82	114	42	105	111
sub-051	n/a	n/a	n/a	n/a	n/a
sub-052	n/a	n/a	n/a	n/a	n/a
sub-053	n/a	n/a	n/a	n/a	n/a
sub-054	n/a	n/a	n/a	n/a	n/a
sub-055	52	77	40	95	83
sub-056	74	96	32	91	92
sub-057	85	117	42	105	113
sub-058	81	107	40	98	103
sub-059	87	103	50	103	104
sub-060	79	103	38	96	99
sub-061	73	92	28	81	84
sub-062	n/a	n/a	n/a	n/a	n/a
sub-063	n/a	n/a	n/a	n/a	n/a
sub-064	n/a	n/a	n/a	n/a	n/a
sub-065	83	111	38	96	110
sub-066	76	104	37	98	101
sub-067	75	82	20	70	71
sub-068	n/a	n/a	n/a	n/a	n/a
sub-069	88	94	39	85	87
sub-070	91	100	53	99	99
sub-071	69	99	34	99	99
sub-072	n/a	n/a	n/a	n/a	n/a
sub-073	79	103	51	114	110
sub-074	52	70	8	55	55
sub-075	70	79	47	93	83
sub-076	70	90	24	80	82
sub-077	70	93	37	95	93
sub-078	65	83	23	77	76
sub-079	n/a	n/a	n/a	n/a	n/a
sub-080	n/a	n/a	n/a	n/a	n/a
sub-081	n/a	n/a	n/a	n/a	n/a
sub-082	n/a	n/a	n/a	n/a	n/a
sub-083	86	105	33	88	96
sub-084	76	98	33	92	94
sub-085	n/a	n/a	n/a	n/a	n/a
sub-086	100	119	32	84	102
sub-087	n/a	n/a	n/a	n/a	n/a
sub-088	70	93	32	91	90
sub-089	80	105	45	105	106
sub-090	75	90	45	97	92
sub-091	n/a	n/a	n/a	n/a	n/a
sub-092	n/a	n/a	n/a	n/a	n/a
sub-093	82	109	49	111	112
sub-094	n/a	n/a	n/a	n/a	n/a
sub-095	77	95	38	93	92
sub-096	70	93	32	91	90
sub-097	n/a	n/a	n/a	n/a	n/a
sub-098	n/a	n/a	n/a	n/a	n/a
sub-099	72	94	32	91	91
sub-100	n/a	n/a	n/a	n/a	n/a
sub-101	n/a	n/a	n/a	n/a	n/a
sub-102	n/a	n/a	n/a	n/a	n/a
sub-103	63	88	41	99	92
sub-104	n/a	n/a	n/a	n/a	n/a
sub-105	n/a	n/a	n/a	n/a	n/a
sub-106	69	86	29	82	81
sub-107	n/a	n/a	n/a	n/a	n/a
sub-108	n/a	n/a	n/a	n/a	n/a
sub-109	n/a	n/a	n/a	n/a	n/a
sub-110	n/a	n/a	n/a	n/a	n/a
sub-111	n/a	n/a	n/a	n/a	n/a
sub-112	n/a	n/a	n/a	n/a	n/a
sub-113	n/a	n/a	n/a	n/a	n/a
sub-114	n/a	n/a	n/a	n/a	n/a
sub-115	n/a	n/a	n/a	n/a	n/a
sub-116	n/a	n/a	n/a	n/a	n/a
sub-117	86	101	48	100	101
sub-118	n/a	n/a	n/a	n/a	n/a
sub-119	72	91	30	85	86
sub-120	81	96	38	89	91
sub-121	n/a	n/a	n/a	n/a	n/a
sub-122	n/a	n/a	n/a	n/a	n/a
sub-123	n/a	n/a	n/a	n/a	n/a
sub-124	n/a	n/a	n/a	n/a	n/a
sub-125	n/a	n/a	n/a	n/a	n/a
sub-126	n/a	n/a	n/a	n/a	n/a
sub-127	n/a	n/a	n/a	n/a	n/a
sub-128	n/a	n/a	n/a	n/a	n/a
sub-129	n/a	n/a	n/a	n/a	n/a
sub-130	n/a	n/a	n/a	n/a	n/a
sub-131	n/a	n/a	n/a	n/a	n/a
sub-132	n/a	n/a	n/a	n/a	n/a
