participant_id	TOMA-2_Attitudes_Raw	TOMA-2_Attitudes_StS
sub-001	52	16
sub-002	50	15
sub-003	n/a	n/a
sub-004	n/a	n/a
sub-005	37	9
sub-006	48	14
sub-007	54	17
sub-008	48	16
sub-009	38	7
sub-010	56	18
sub-011	55	18
sub-012	50	16
sub-013	49	16
sub-014	48	15
sub-015	n/a	n/a
sub-016	33	7
sub-017	n/a	n/a
sub-018	27	3
sub-019	45	13
sub-020	40	10
sub-021	n/a	n/a
sub-022	50	16
sub-023	34	6
sub-024	45	12
sub-025	n/a	n/a
sub-026	n/a	n/a
sub-027	43	11
sub-028	n/a	n/a
sub-029	43	11
sub-030	45	13
sub-031	55	18
sub-032	n/a	n/a
sub-033	n/a	n/a
sub-034	51	16
sub-035	35	7
sub-036	42	10
sub-037	n/a	n/a
sub-038	56	20
sub-039	n/a	n/a
sub-040	31	6
sub-041	n/a	n/a
sub-042	38	8
sub-043	n/a	n/a
sub-044	41	11
sub-045	46	13
sub-046	45	13
sub-047	51	16
sub-048	48	14
sub-049	34	6
sub-050	35	6
sub-051	n/a	n/a
sub-052	45	13
sub-053	43	12
sub-054	38	11
sub-055	42	11
sub-056	37	7
sub-057	40	9
sub-058	39	9
sub-059	32	6
sub-060	36	7
sub-061	56	18
sub-062	n/a	n/a
sub-063	40	9
sub-064	n/a	n/a
sub-065	35	9
sub-066	36	16
sub-067	40	12
sub-068	n/a	n/a
sub-069	33	7
sub-070	40	11
sub-071	37	7
sub-072	n/a	n/a
sub-073	27	2
sub-074	42	12
sub-075	38	11
sub-076	46	13
sub-077	42	10
sub-078	43	12
sub-079	38	10
sub-080	50	15
sub-081	42	11
sub-082	n/a	n/a
sub-083	27	3
sub-084	34	6
sub-085	n/a	n/a
sub-086	42	11
sub-087	n/a	n/a
sub-088	25	1
sub-089	26	2
sub-090	40	10
sub-091	39	11
sub-092	33	5
sub-093	47	13
sub-094	36	9
sub-095	32	5
sub-096	35	6
sub-097	50	15
sub-098	50	15
sub-099	38	8
sub-100	n/a	n/a
sub-101	n/a	n/a
sub-102	n/a	n/a
sub-103	29	3
sub-104	n/a	n/a
sub-105	n/a	n/a
sub-106	41	11
sub-107	n/a	n/a
sub-108	n/a	n/a
sub-109	n/a	n/a
sub-110	n/a	n/a
sub-111	n/a	n/a
sub-112	n/a	n/a
sub-113	n/a	n/a
sub-114	n/a	n/a
sub-115	n/a	n/a
sub-116	n/a	n/a
sub-117	36	8
sub-118	n/a	n/a
sub-119	49	15
sub-120	49	16
sub-121	n/a	n/a
sub-122	n/a	n/a
sub-123	n/a	n/a
sub-124	n/a	n/a
sub-125	n/a	n/a
sub-126	n/a	n/a
sub-127	n/a	n/a
sub-128	n/a	n/a
sub-129	n/a	n/a
sub-130	n/a	n/a
sub-131	n/a	n/a
sub-132	n/a	n/a
